Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,58401,ARCH,4956,80,T,2,RESEARCH DESIGN SEMINAR,M,10:00 am-11:50 am,10,8,2,Joshua William Hugo Draper (P),08/29-12/20,TBA, 
NR,58383,ARCH,4958,80,T,4,RESEARCH INVESTIGATIONS,F,02:00 pm-05:50 pm,10,8,2,Joshua William Hugo Draper (P),08/29-12/20,TBA, 
NR,59271,ARCH,4960,1,T,2,LATIN AMERICAN STUDIES,W,06:00 pm-08:00 pm,14,8,6,Selma Cohen (P),08/29-12/20,GREENE STU, 
C,57900,ARCH,4961,1,T,2,RADICAL AMBIENCE,R,07:00 pm-08:50 pm,10,10,0,Edward Jeremy Keller (P),08/29-12/20,GREENE 117, 
NR,59563,ARCH,4962,1,T,0,COMPREHENSIVE DESIGN 1 CMPTNG, ,TBA,54,41,13,Edwin Jhinang Liu (P),08/29-12/20,TBA, 
NR,58651,ARCH,4963,1,T,4,"LGHT, SCI & TECH ARCHITECTURE",TF,12:00 pm-01:50 pm,10,3,0,"Nadarajah Narendran (P), Jean Paul Freyssinier , Ukwatte Lokuliyanage Indika Upendra Perera",08/29-12/20,GURLEY, 
NR,59777,ARCH,4964,1,T,0,COMPREHENSIVE DESIGN 2 CMPTNG,W,TBA,20,16,4,Jillian Marie Crandall (P),08/29-12/20,GREENE STU, 
C,59771,ARCH,4965,2,T,2,CERAMIC ASSEMBLIES,F,12:00 pm-01:50 pm,10,11,-1,John Rhett Russo (P),08/29-12/20,GREENE STU, 
NR,59536,ARCH,4966,1,T,3,DESIGN PROGRAMMING 1,T,01:00 pm-03:50 pm,15,5,10,Dennis Robert Shelden (P),08/29-12/20,TBA, 
C,59268,ARCH,4967,1,T,3,GEO-ACTORS I,F,10:00 am-12:50 pm,9,9,0,Cathryn M Dwyre (P),08/29-12/20,TBA, 
NR,59270,ARCH,4969,1,T,3,URBAN DATA 1,R,10:00 am-12:50 pm,12,11,1,James Fleet Hower (P),08/29-12/20,TBA, 
NR,59597,ARCH,4970,1,T,2,PARAMETRICS OF THE ENVIRONMENT,R,11:00 am-01:10 pm,15,12,3,Charles A. Portelli (P),08/29-12/20,TBA, 
C,59785,ARCH,4971,1,T,2,SEMINAR ON SENSORY CULTURE,R,10:00 am-11:50 am,10,12,-2,Ted Krueger (P),08/29-12/20,DARRIN 236, 
C,59815,ARCH,4972,1,T,2,PROJECTING LIGHT,F,10:00 am-11:50 am,10,11,-1,Yael Erel (P),08/29-12/20,LOW 4034, 
C,59896,ARCH,4973,50,T,2,LANDSCAPE ECOLOGIES, ,08:00 am-08:01 am,14,14,0,Christianna Grace Bennett (P),08/29-12/20,TBA, 
C,59897,ARCH,4974,50,T,3,ARCHITECTURE OF THE CITY, ,08:00 am-08:01 am,14,14,0,Christianna Grace Bennett (P),08/29-12/20,TBA, 
C,59898,ARCH,4975,50,T,3,RENAISSSANCE & BAROQUE ARCH, ,08:00 am-08:01 am,14,14,0,Christianna Grace Bennett (P),08/29-12/20,TBA, 
NR,59900,ARCH,4977,50,T,3,TO ROME WITH LOVE, ,08:00 am-08:01 am,4,3,1,Christianna Grace Bennett (P),08/29-12/20,TBA, 
C,59901,ARCH,4978,50,T,3,WOMEN IN ART & ARCHITECTURE, ,08:00 am-08:01 am,4,4,0,Christianna Grace Bennett (P),08/29-12/20,TBA, 
NR,59902,ARCH,4979,50,T,3,FASHION & ARCHITECTURE, ,08:00 am-08:01 am,7,4,3,Christianna Grace Bennett (P),08/29-12/20,TBA, 
C,57637,ARCH,5100,1,T,4,"HISTORY, THEORY, CRITICISM I",MR,10:00 am-11:20 am,10,93,-3,David H Bell (P),08/29-12/20,TBA, 
NR,57639,ARCH,5140,1,T,3,STRUCTURES 1,TF,10:00 am-11:20 am,15,1,14,Justin Henry Den Herder (P),08/29-12/20,CARNEG 113, 
NR,57655,ARCH,5150,1,T,3,STRUCTURES 2,TF,12:00 pm-01:20 pm,15,3,12,Justin Henry Den Herder (P),08/29-12/20,CARNEG 113, 
NR,59605,ARCH,5160,3,T,2,GRAD DIGITAL CONSTRUCTS 1, ,TBA,3,0,3,James Fleet Hower (P),08/29-12/20,TBA, 
NR,57640,ARCH,5300,1,T,3,MATERIALS AND CONSTRUCTION SYSTEMS,W,10:00 am-01:50 pm,10,0,10,Michael Todd Stradley (P),08/29-12/20,DARRIN 318, 
NR,57903,ARCH,5340,1,T,2,MATERIALS AND ENCLOSURES,M,12:00 pm-01:50 pm,10,3,7,John Clifford Loercher (P),08/29-12/20,DARRIN 318, 
NR,58384,ARCH,6310,80,T,3,ENVIRONMENTAL HISTORY & THEORY,W,02:00 pm-05:00 pm,15,5,10,Enrique Ramirez (P),08/29-12/20,TBA, 
NR,56569,ARCH,6320,80,T,3,BUILT ECOLOGIES 1,F,02:00 pm-04:50 pm,12,4,8,Hellen Rose Awino (P),08/29-12/20,TBA, 
NR,59769,ARCH,6320,81,T,3,BUILT ECOLOGIES 1,F,02:00 pm-04:50 pm,12,3,9,Hellen Rose Awino (P),08/29-12/20,TBA, 
NR,59911,ARCH,6330,1,T,3,BUILT ECOLOGIES 2,MR,02:00 pm-05:50 pm,10,0,10,James Fleet Hower (P),08/29-12/20,TBA, 
NR,58385,ARCH,6340,80,T,3,MATERIAL SYSTEMS & PRODUCTIONS,T,02:00 pm-04:50 pm,10,3,7,Joshua William Hugo Draper (P),08/29-12/20,TBA, 
NR,58386,ARCH,6350,81,T,4,DESIGN RESEARCH STUDIO,MR,02:00 pm-05:50 pm,15,4,11,Alexandros Tsamis (P),08/29-12/20,TBA, 
NR,59513,ARCH,6380,80,T,2,GRADUATE ENVIRONMENTAL PARAMETRICS,R,11:00 am-01:10 pm,15,2,13,Charles A. Portelli (P),08/29-12/20,TBA, 
NR,57654,ARCH,6610,1,T,5,GRADUATE ARCHITECTURE DESIGN 3,MWR,02:00 pm-05:50 pm,10,4,6,Ted Krueger (P),08/29-12/20,GREENE STU, 
NR,57902,ARCH,6630,80,T,5,GRADUATE ARCHITECTURE DESIGN 5,MR,02:00 pm-05:50 pm,5,3,2,James Fleet Hower (P),08/29-12/20,GREENE STU, 
NR,59291,ARCH,6750,3,T,3,FINAL PROJECT RESEARCH SEMINAR,F,02:00 pm-04:50 pm,10,3,7,Christopher S Perry (P),08/29-12/20,TROY 2018, 
NR,57904,ARCH,6810,1,T,2,RESEARCH DESIGN SEMINAR,R,12:00 pm-01:50 pm,20,0,20,Ning Xiang (P),08/29-12/20,CARNEG 102, 
NR,57656,ARCH,6810,80,T,2,RESEARCH DESIGN SEMINAR,M,10:00 am-11:50 am,20,4,16,Joshua William Hugo Draper (P),08/29-12/20,TBA, 
NR,58387,ARCH,6840,1,T,3,ENGINEERING ACOUSTICS,W,10:00 am-12:50 pm,20,3,17,Ning Xiang (P),08/29-12/20,GREENE 204, 
NR,56574,ARCH,6860,1,T,3,APPLIED PSYCHOACOUSTICS,T,09:00 am-11:50 am,15,3,12,Jonas Braasch (P),08/29-12/20,GREENE 204, 
NR,58388,ARCH,6870,1,T,3,SONICS RESEARCH LAB 1,MR,10:00 am-11:20 am,20,3,17,Ning Xiang (P),08/29-12/20,GREENE STU, 
NR,57373,ARCH,6910,1,T,2,DOCTORAL SEMINAR 1, ,TBA,10,0,10,Nadarajah Narendran (P),08/29-12/20,GURLEY, 
NR,58652,ARCH,6910,80,T,2,DOCTORAL SEMINAR 1,R,10:00 am-11:50 am,10,2,8,Alexandros Tsamis (P),08/29-12/20,TBA, 
NR,58655,ARCH,6920,3,T,2,DOCTORAL SEMINAR 2,R,06:00 pm-07:50 pm,10,0,10,Jonas Braasch (P),08/29-12/20,GREENE 204, 
